"stop_id","pid","basis_for_search","basis_for_search_explanation"
"2443","1","",""
"2444","1","",""
"2447","1","",""
"2447","2","",""
"2448","1","",""
"2449","1","Incident to arrest","subject was transported to detox and was searched accordingly."
"2451","1","",""
"2453","1","Incident to arrest","INCIDENT TO ARREST"
"2454","1","",""
"2455","1","",""
"2456","1","",""
"2457","1","",""
"2458","1","",""
"2459","1","Incident to arrest","DRUNK IN PUBLIC"
"2461","1","",""
"2462","1","",""
"2463","1","",""
"2464","1","",""
"2465","1","",""
"2467","1","",""
"2469","1","",""
"2471","1","",""
"2473","1","",""
"2474","1","Condition of parole / probation/ PRCS / mandatory supervision","4th waiver"
"2474","1","Consent given","4th waiver"
"2475","1","Incident to arrest","FIGHTING"
"2476","1","",""
"2477","1","Vehicle inventory","suspect did not have ID. Suspect arrested. Vehicle impounded"
"2477","1","Incident to arrest","suspect did not have ID. Suspect arrested. Vehicle impounded"
"2477","2","",""
"2478","1","Incident to arrest","647 F PC"
"2479","1","",""
"2479","2","",""
"2481","1","",""
"2482","1","",""
"2483","1","",""
"2484","1","",""
"2485","1","",""
"2486","1","",""
"2487","1","",""
"2488","1","",""
"2489","1","",""
"2490","1","Incident to arrest","Incident to arrest."
"2491","1","",""
"2493","1","",""
"2497","1","",""
"2499","1","Incident to arrest","SUBJECT WAS HIT WITH OC SPRAY WHILE THE FIGHT WAS BEING BROKEN UP "
"2500","1","Incident to arrest","Placed suspect on 5150W&I hold"
"2501","1","",""
"2502","1","Incident to arrest","arrest drunk in public"
"2503","1","",""
"2504","1","",""
"2505","1","",""
"2506","1","",""
"2507","1","",""
"2508","1","",""
"2509","1","",""
"2510","1","Incident to arrest","647f pc"
"2511","1","",""
"2512","1","",""
"2513","1","",""
"2514","1","",""
"2516","1","Incident to arrest","TRO violation"
"2517","1","",""
"2518","1","",""
"2519","1","Officer Safety/safety of others","INCIDENT TO ARREST"
"2519","1","Incident to arrest","INCIDENT TO ARREST"
"2520","1","Vehicle inventory","VEHICLE IMPOUNDED FOR NO DRIVER'S LICENSE"
"2521","1","Incident to arrest","domestic violence warrant"
"2522","1","",""
"2523","1","",""
"2525","1","Condition of parole / probation/ PRCS / mandatory supervision",""
"2526","1","",""
"2527","1","",""
"2528","1","",""
"2528","2","",""
"2529","1","",""
"2530","1","Incident to arrest","incident to arrest"
"2531","1","",""
"2532","1","Incident to arrest","serached incident to arrest"
"2533","1","",""
"2534","1","",""
"2535","1","",""
"2536","1","",""
"2537","1","",""
"2538","1","",""
"2539","1","",""
"2541","1","",""
"2542","1","",""
"2543","1","",""
"2544","1","",""
"2545","1","",""
"2546","1","",""
"2547","1","",""
"2548","1","",""
"2549","1","",""
"2550","1","",""
"2551","1","",""
"2552","1","",""
"2553","1","",""
"2554","1","",""
"2555","1","",""
"2556","1","",""
"2557","1","",""
"2558","1","",""
"2559","1","",""
"2560","1","",""
"2561","1","",""
"2562","1","",""
"2563","1","",""
"2564","1","",""
"2565","1","",""
"2565","2","",""
"2566","1","",""
"2567","1","",""
"2568","1","Officer Safety/safety of others","Suspect of a 211 pedestrian"
"2568","1","Consent given","Suspect of a 211 pedestrian"
"2568","1","Incident to arrest","Suspect of a 211 pedestrian"
"2569","1","",""
"2569","2","",""
"2570","1","",""
"2571","1","",""
"2572","1","Incident to arrest","PLACED ON 5150 WI HOLD AND TRANSPORTED, THEREFOR WAS SEARCHED"
"2573","1","",""
"2575","1","",""
"2576","1","",""
"2577","1","Incident to arrest","stolen vehicle arrest"
"2578","1","",""
"2579","1","",""
"2579","2","",""
"2579","3","",""
"2579","4","",""
"2580","1","",""
"2581","1","",""
"2582","1","",""
"2583","1","",""
"2584","1","",""
"2585","1","Condition of parole / probation/ PRCS / mandatory supervision",""
"2586","1","",""
"2587","1","",""
"2588","1","",""
"2589","1","",""
"2590","1","",""
"2591","1","",""
"2592","1","",""
"2593","1","",""
"2594","1","",""
"2595","1","",""
"2596","1","",""
"2597","1","",""
"2598","1","",""
"2599","1","",""
"2600","1","",""
"2601","1","",""
"2602","1","",""
"2602","2","",""
"2603","1","",""
"2603","2","",""
"2604","1","",""
"2605","1","",""
"2606","1","",""
"2607","1","",""
"2608","1","",""
"2608","2","",""
"2609","1","Incident to arrest","Was arrested for 69 PC and serached incident to arrest."
"2610","1","",""
"2611","1","",""
"2612","1","",""
"2613","1","",""
"2614","1","",""
"2615","1","",""
"2616","1","",""
"2617","1","",""
"2618","1","",""
"2619","1","",""
"2620","1","",""
"2621","1","",""
"2622","1","",""
"2623","1","",""
"2624","1","Consent given","said yes to us when we asked if we could search"
"2625","1","",""
"2626","1","",""
"2627","1","",""
"2628","1","",""
"2629","1","",""
"2630","1","",""
"2631","1","",""
"2632","1","",""
"2633","1","",""
"2634","1","",""
"2635","1","",""
"2635","2","",""
"2636","1","",""
"2637","1","",""
"2638","1","",""
"2638","2","",""
"2639","1","",""
"2640","1","",""
"2641","1","",""
"2641","2","",""
"2642","1","Condition of parole / probation/ PRCS / mandatory supervision",""
"2642","2","",""
"2642","3","Condition of parole / probation/ PRCS / mandatory supervision","warrant"
"2642","3","Incident to arrest","warrant"
"2643","1","",""
"2643","2","",""
"2644","1","",""
"2645","1","",""
"2646","1","",""
"2647","1","",""
"2648","1","",""
"2649","1","",""
"2650","1","",""
"2651","1","Incident to arrest","Search of subj and property incident to arrest."
"2652","1","",""
"2653","1","Consent given","Subject told me he was in possesion of a ""Meth Pipe"" and gave consent to retrieve said ""Meth Pipr"""
"2653","1","Evidence of crime","Subject told me he was in possesion of a ""Meth Pipe"" and gave consent to retrieve said ""Meth Pipr"""
"2653","1","Officer Safety/safety of others","Subject told me he was in possesion of a ""Meth Pipe"" and gave consent to retrieve said ""Meth Pipr"""
"2654","1","",""
"2655","1","Vehicle inventory","DRIVER HAD SUSPENDED LICENSE. SEARCHED VEHICLE AND LOCATED NARCOTIC PARAPHERNALIA. DRIVER ARRESTED. "
"2655","1","Incident to arrest","DRIVER HAD SUSPENDED LICENSE. SEARCHED VEHICLE AND LOCATED NARCOTIC PARAPHERNALIA. DRIVER ARRESTED. "
"2656","1","",""
"2657","1","",""
"2658","1","",""
"2659","1","",""
"2660","1","",""
"2661","1","Incident to arrest","subject arrested for stolen vehicle"
"2662","1","Incident to arrest","Arrested"
"2663","1","",""
"2664","1","",""
"2665","1","",""
"2666","1","",""
"2667","1","",""
"2668","1","Consent given","warrant arrest"
"2668","1","Incident to arrest","warrant arrest"
"2669","1","",""
"2670","1","",""
"2671","1","",""
"2672","1","",""
"2673","1","",""
"2674","1","",""
"2675","1","",""
"2676","1","Incident to arrest","ARRESTED"
"2678","1","",""
"2679","1","",""
"2680","1","",""
"2681","1","",""
"2682","1","",""
"2683","1","",""
"2684","1","Incident to arrest","subject was arrested for 11550 HS - Under influence of controlled substance. "
"2685","1","Incident to arrest","arrest search"
"2687","1","",""
"2688","1","",""
"2689","1","",""
"2690","1","Consent given","Subject had partially visible suspected weapon and also gave verbal consent to search during detention."
"2690","1","Suspected weapons","Subject had partially visible suspected weapon and also gave verbal consent to search during detention."
"2691","1","",""
"2692","1","",""
"2693","1","",""
"2694","1","",""
"2695","1","",""
"2696","1","",""
"2697","1","",""
"2698","1","",""
"2699","1","",""
"2700","1","Incident to arrest","INCIDENT TO AN ARREST"
"2700","1","Consent given","INCIDENT TO AN ARREST"
"2701","1","",""
"2702","1","",""
"2703","1","",""
"2704","1","",""
"2705","1","",""
"2706","1","",""
"2707","1","Officer Safety/safety of others","incident to arrest"
"2708","1","",""
"2709","1","",""
"2710","1","",""
"2712","1","",""
"2713","1","",""
"2714","1","",""
"2715","1","Incident to arrest","pipe found"
"2715","2","",""
"2716","1","",""
"2717","1","",""
"2718","1","",""
"2719","1","Condition of parole / probation/ PRCS / mandatory supervision",""
"2720","1","",""
"2721","1","",""
"2722","1","",""
"2723","1","",""
"2724","1","",""
"2725","1","",""
"2725","2","",""
"2725","3","",""
"2725","4","",""
"2726","1","",""
"2727","1","",""
"2728","1","",""
"2729","1","",""
"2729","2","Consent given","Suspects of robbery were detained, he was with them and friend said he was with them."
"2730","1","",""
"2731","1","",""
"2732","1","",""
"2733","1","",""
"2734","1","",""
"2735","1","",""
"2736","1","",""
"2737","1","Incident to arrest","search incident to arrest for 11550"
"2738","1","Consent given","Search conducted to locate identification."
"2739","1","",""
"2740","1","Condition of parole / probation/ PRCS / mandatory supervision",""
"2741","1","Condition of parole / probation/ PRCS / mandatory supervision",""
"2742","1","",""
"2743","1","",""
"2744","1","",""
"2745","1","",""
"2746","1","",""
"2747","1","",""
"2748","1","",""
"2749","1","",""
"2750","1","",""
"2751","1","",""
"2752","1","Incident to arrest","She was placed on a 5150 hold"
"2752","1","Consent given","She was placed on a 5150 hold"
"2753","1","",""
"2754","1","",""
"2755","1","",""
"2756","1","",""
"2757","1","",""
"2758","1","",""
"2759","1","",""
"2760","1","",""
