stop_id,crime_type,lon,lat
2448,*unsafe movement*,-117.24846,32.74397
2454,*others*,-117.090126,32.751472
2457,*bike*,-117.09222,32.75503
2458,*bike*,-117.27638,32.831173
2462,*red light*,-117.21519,32.8018
2465,*phone*,-117.13273,32.91396
2469,*red light*,-117.25477,32.79471
2477,*others*,-117.25555,32.792454
2477,*passenger*,-117.25555,32.792454
2506,*others*,-117.177925,32.693985
2512,*expire or fake liscence*,-117.188614,32.87678
2513,*others*,-117.20169,32.831215
2520,*others*,-117.12738,32.717964
2538,*plate*,-117.24579,32.796696
2544,*turn*,-117.23022,32.939163
2546,*sign*,-117.164734,32.716824
2548,*red light*,-117.08453,32.767757
2549,*lane*,-117.164734,32.716824
2551,*red light*,-117.142006,32.91276
2552,*expire or fake liscence*,-117.23916,32.950363
2554,*phone*,-117.22089,32.956215
2555,*traffic jam*,-117.11065,32.74798
2559,*phone*,-117.21946,32.808056
2561,*red light*,-117.08799,32.74965
2564,*others*,-117.16786,32.83464
2583,*others*,-117.20097,32.813763
2588,*others*,-117.189285,32.834473
2590,*speeding*,-117.231544,32.801846
2591,*speeding*,-117.231544,32.801846
2593,*speeding*,-117.231544,32.801846
2595,*speeding*,-117.231544,32.801846
2596,*speeding*,-117.231544,32.801846
2597,*speeding*,-117.231544,32.801846
2600,*phone*,-117.240875,32.79983
2604,*sign*,-117.16108,32.713703
2607,*plate*,-117.077255,32.70403
2612,*phone*,-117.25169,32.797413
2613,*phone*,-117.25169,32.797413
2614,*phone*,-117.25169,32.797413
2615,*helmet*,-117.25579,32.795517
2616,*helmet*,-117.25579,32.795517
2618,*expire or fake liscence*,-117.21109,32.827858
2620,*expire or fake liscence*,-117.07966,32.73504
2623,*red light*,-117.22461,32.801315
2626,*speeding*,-117.238846,32.80024
2627,*helmet*,-117.13978,32.760952
2629,*helmet*,-117.13978,32.760952
2630,*helmet*,-117.25001,32.75136
2631,*car problem*,-117.09755,32.78982
2632,*helmet*,-117.13978,32.760952
2633,*helmet*,-117.13978,32.760952
2634,*helmet*,-117.25001,32.75136
2635,*expire or fake liscence*,-117.24928,32.88964
2636,*helmet*,-117.13978,32.760952
2639,*helmet*,-117.25579,32.795517
2644,*bike*,-117.249886,32.751316
2648,*speeding*,-117.222046,32.801853
2649,*speeding*,-117.222046,32.801853
2650,*speeding*,-117.222046,32.801853
2652,*speeding*,-117.222046,32.801853
2654,*speeding*,-117.222046,32.801853
2656,*speeding*,-117.222046,32.801853
2657,*speeding*,-117.222046,32.801853
2660,*lane*,-117.222046,32.801853
2663,*sign*,-117.24959,32.74858
2665,*phone*,-117.251114,32.772026
2666,*phone*,-117.251114,32.772026
2668,*plate*,-117.12771,32.75414
2670,*stopping violation*,-117.15468,32.71269
2671,*lane*,-117.15916,32.712578
2672,*stopping violation*,-117.15924,32.712654
2673,*phone*,-117.15564,32.71896
2675,*phone*,-116.86816,32.808586
2687,*others*,-117.098656,32.729717
2691,*car problem*,-117.16701,32.88868
2692,*expire or fake liscence*,-117.21586,32.944805
2693,*tinted window*,-117.230965,32.799915
2694,*red light*,-117.2529,32.78474
2695,*speeding*,-117.230965,32.799915
2696,*phone*,-117.13985,32.760914
2699,*phone*,-117.240265,32.797913
2703,*red light*,-117.14211,32.890163
2709,*speeding*,-117.14743,32.740276
2710,*expire or fake liscence*,-117.15806,32.800934
2712,*sign*,-117.070946,33.01351
2717,*stopping violation*,-117.14633,32.748573
2722,*lane*,-117.24753,32.802334
2723,*turn*,-117.242165,32.93069
2724,*car problem*,-117.140045,32.748596
2728,*car problem*,-117.238846,32.80024
2730,*speeding*,-117.23336,32.80144
2736,*car problem*,-117.122536,32.690468
2744,*expire or fake liscence*,-117.23765,32.92969
2756,*plate*,-117.238716,32.78639
2758,*plate*,-117.238716,32.78639
2762,*phone*,-117.20178,32.757812
2766,*lane*,-117.206116,32.75489
2767,*stopping violation*,-117.182014,32.742836
2770,*stopping violation*,-117.234886,32.773285
2771,*speeding*,-117.25462,32.79371
2773,*speeding*,-117.25096,32.767776
2776,*speeding*,-117.25096,32.767776
2779,*speeding*,-117.25096,32.767776
2780,*sign*,-117.027885,32.696297
2784,*expire or fake liscence*,-117.20425,32.753735
2785,*speeding*,-117.25096,32.767776
2786,*speeding*,-117.25096,32.767776
2787,*speeding*,-117.25096,32.767776
2788,*plate*,-117.03678,32.691704
2815,*others*,-117.208664,32.767296
2817,*speeding*,-117.208664,32.767296
2820,*speeding*,-117.208664,32.767296
2822,*others*,-117.208664,32.767296
2824,*others*,-117.208664,32.767296
2825,*others*,-117.208664,32.767296
2826,*others*,-117.208664,32.767296
2829,*others*,-117.208664,32.767296
2830,*speeding*,-117.208664,32.767296
2831,*speeding*,-117.208664,32.767296
2833,*others*,-117.208664,32.767296
2834,*others*,-117.208664,32.767296
2836,*others*,-117.208664,32.767296
2837,*speeding*,-117.208664,32.767296
2838,*speeding*,-117.208664,32.767296
2839,*sign*,-117.208664,32.767296
2842,*helmet*,-117.2529,32.77203
2843,*helmet*,-117.2529,32.77203
2845,*helmet*,-117.2529,32.77203
2847,*helmet*,-117.2529,32.77203
2849,*helmet*,-117.2529,32.77203
2851,*helmet*,-117.2529,32.77203
2868,*helmet*,-117.2529,32.77203
2871,*helmet*,-117.2445,32.792507
2873,*helmet*,-117.2445,32.792507
2874,*helmet*,-117.25337,32.780396
2875,*helmet*,-117.25263,32.78404
2876,*helmet*,-117.25337,32.780396
2877,*helmet*,-117.24689,32.771202
2878,*helmet*,-117.25337,32.780396
2879,*helmet*,-117.0142,32.800285
2880,*helmet*,-117.246124,32.79174
2882,*helmet*,-117.2445,32.792507
2884,*helmet*,-117.2445,32.792507
2885,*helmet*,-117.25337,32.780396
2886,*helmet*,-117.0142,32.800285
2887,*helmet*,-117.2445,32.792507
2888,*helmet*,-117.2509,32.774715
2889,*others*,-117.25157,32.774155
2894,*others*,-117.25337,32.780396
2895,*helmet*,-117.25157,32.774155
2896,*helmet*,-117.2509,32.774715
2897,*helmet*,-117.25263,32.78404
2898,*turn*,-117.1951,32.767483
2902,*sign*,-117.1551,32.821903
2903,*speeding*,-117.20088,32.8058
2904,*speeding*,-117.1947,32.794144
2905,*speeding*,-117.1947,32.794144
2906,*speeding*,-117.1947,32.794144
